Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	MCS Internal
High Voltage:	750
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1.72
Upper Discriminator:	729
Lower Discriminator:	562
Calibration Coefficients:	0.7519999999999989	1.008
Calibration Channels:	0	0
Calibration Energies:	0.0	0.0
Elapsed Real Time:	0.0
Elapsed Live Time:	0.0
Start Time:	March 18, 2024, 09:48:22
End Time:	March 18, 2024, 10:05:26
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	561	728	45926	-3383	2	633

Channel Data:
Channel	Energy	Counts
824	824.0	127
825	825.0	143
826	826.0	124
827	827.0	122
828	828.0	129
829	829.0	122
830	830.0	121
831	831.0	114
832	832.0	108
833	833.0	126
834	834.0	111
835	835.0	111
836	836.0	118
837	837.0	119
838	838.0	141
839	839.0	120
840	840.0	115
841	841.0	128
842	842.0	102
843	843.0	113
844	844.0	106
845	845.0	115
846	846.0	108
847	847.0	94
848	848.0	106
849	849.0	98
850	850.0	122
851	851.0	104
852	852.0	118
853	853.0	126
854	854.0	89
855	855.0	101
856	856.0	101
857	857.0	100
858	858.0	97
859	859.0	102
860	860.0	113
861	861.0	90
862	862.0	90
863	863.0	123
864	864.0	95
865	865.0	98
866	866.0	102
867	867.0	104
868	868.0	93
869	869.0	97
870	870.0	100
871	871.0	88
872	872.0	85
873	873.0	93
874	874.0	84
875	875.0	106
876	876.0	91
877	877.0	90
878	878.0	90
879	879.0	101
880	880.0	86
881	881.0	94
882	882.0	78
883	883.0	90
884	884.0	93
885	885.0	93
886	886.0	82
887	887.0	78
888	888.0	105
889	889.0	90
890	890.0	62
891	891.0	79
892	892.0	72
893	893.0	103
894	894.0	100
895	895.0	86
896	896.0	83
897	897.0	84
898	898.0	94
899	899.0	92
900	900.0	74
901	901.0	76
902	902.0	92
903	903.0	88
904	904.0	85
905	905.0	82
906	906.0	74
907	907.0	79
908	908.0	75
909	909.0	94
910	910.0	78
911	911.0	70
912	912.0	74
913	913.0	79
914	914.0	97
915	915.0	85
916	916.0	76
917	917.0	66
918	918.0	64
919	919.0	74
920	920.0	79
921	921.0	81
922	922.0	83
923	923.0	77
924	924.0	78
925	925.0	83
926	926.0	70
927	927.0	67
928	928.0	83
929	929.0	80
930	930.0	86
931	931.0	86
932	932.0	70
933	933.0	77
934	934.0	67
935	935.0	72
936	936.0	70
937	937.0	68
938	938.0	67
939	939.0	81
940	940.0	72
941	941.0	73
942	942.0	61
943	943.0	65
944	944.0	72
945	945.0	73
946	946.0	69
947	947.0	84
948	948.0	66
949	949.0	96
950	950.0	68
951	951.0	68
952	952.0	67
953	953.0	64
954	954.0	71
955	955.0	73
956	956.0	62
957	957.0	63
958	958.0	52
959	959.0	61
960	960.0	50
961	961.0	82
962	962.0	67
963	963.0	56
964	964.0	56
965	965.0	62
966	966.0	56
967	967.0	61
968	968.0	57
969	969.0	47
970	970.0	55
971	971.0	62
972	972.0	59
973	973.0	52
974	974.0	48
975	975.0	66
976	976.0	63
977	977.0	51
978	978.0	48
979	979.0	44
980	980.0	56
981	981.0	60
982	982.0	44
983	983.0	67
984	984.0	57
985	985.0	63
986	986.0	67
987	987.0	58
988	988.0	62
989	989.0	66
990	990.0	54
991	991.0	62
992	992.0	58
993	993.0	47
994	994.0	41
995	995.0	59
996	996.0	52
997	997.0	53
998	998.0	48
999	999.0	51
1000	1000.0	56
1001	1001.0	46
1002	1002.0	57
1003	1003.0	50
1004	1004.0	45
1005	1005.0	55
1006	1006.0	47
1007	1007.0	50
1008	1008.0	66
1009	1009.0	42
1010	1010.0	58
1011	1011.0	46
1012	1012.0	48
1013	1013.0	50
1014	1014.0	53
1015	1015.0	48
1016	1016.0	53
1017	1017.0	53
1018	1018.0	60
1019	1019.0	52
1020	1020.0	51
1021	1021.0	54
1022	1022.0	44
1023	1023.0	44
